name,cam_id,Cx_ecef,Cy_ecef,Cz_ecef,lat,lon,alt,qw,qx,qy,qz,tx,ty,tz
0038.jpg,1,3941572.068905,510052.853944,4972007.445499,51.55002183,7.37329538,232.882,-0.189466296,0.828261126,-0.454921203,-0.266707196,26105.305808,67281.072372,6364887.594970
0039.jpg,1,3941578.950705,510053.969031,4972001.865797,51.54994160,7.37329859,232.845,-0.242089585,0.714720846,-0.618211839,-0.219956511,32726.236665,51031.411776,6365008.013970
0040.jpg,1,3941589.128659,510055.228846,4971993.716644,51.54982387,7.37329777,232.840,-0.242964356,0.715241649,-0.617393874,-0.219596243,18524.169365,45267.488763,6365108.830459
0041.jpg,1,3941602.727449,510056.959821,4971982.824314,51.54966650,7.37329736,232.834,-0.244257792,0.714254005,-0.618593042,-0.217995403,448.058012,46346.828561,6365128.053645
0042.jpg,1,3941619.264487,510058.992505,4971969.610884,51.54947538,7.37329582,232.847,-0.244885482,0.713988752,-0.619208957,-0.216405707,-16185.071017,54081.533507,6365046.554800
0043.jpg,1,3941636.470754,510061.144673,4971955.883637,51.54927661,7.37329476,232.879,-0.245620208,0.714403551,-0.619025512,-0.214722369,-38970.189774,61492.446431,6364880.654895
0044.jpg,1,3941652.581857,510063.241063,4971942.961502,51.54909003,7.37329493,232.862,-0.245512019,0.715417953,-0.618522536,-0.212910482,-59019.603011,78515.914751,6364539.129895
0045.jpg,1,3941669.487648,510065.489732,4971929.411992,51.54889426,7.37329580,232.857,-0.245308441,0.716366073,-0.618095527,-0.211190289,-77074.950054,95670.459691,6364111.394902
0046.jpg,1,3941686.197463,510067.615458,4971915.994608,51.54870071,7.37329528,232.824,-0.244306780,0.716753074,-0.618257393,-0.210563588,-75481.675730,111371.176984,6363875.131287
0047.jpg,1,3941702.792735,510069.757817,4971902.683143,51.54850853,7.37329520,232.804,-0.243464715,0.717005435,-0.618431936,-0.210166791,-72635.360075,123432.657773,6363685.790342
0048.jpg,1,3941719.408188,510071.873210,4971889.358465,51.54831617,7.37329471,232.785,-0.242826115,0.716837988,-0.618719654,-0.210629456,-62031.979191,125899.261225,6363749.713111
0049.jpg,1,3941734.321887,510073.726935,4971877.485266,51.54814403,7.37329362,232.832,-0.242609380,0.715665457,-0.620286503,-0.210257690,-55244.081825,131621.993583,6363696.578403
0050.jpg,1,3941745.211722,510075.324706,4971868.767980,51.54801785,7.37329631,232.849,-0.245575754,0.704568443,-0.632942578,-0.206541889,-39069.729426,135202.235996,6363741.439487
0051.jpg,1,3941749.398740,510080.482314,4971864.881721,51.54796224,7.37336230,232.799,-0.141170067,0.892931277,-0.313839649,-0.290257508,-36731.194719,116211.118720,6364130.468353
0052.jpg,1,3941749.830501,510086.143357,4971863.906314,51.54794866,7.37344243,232.753,0.047783858,-0.944928061,0.036494993,0.321707596,-59019.121145,91344.350104,6364368.252690
0053.jpg,1,3941748.650900,510096.643917,4971863.714691,51.54794634,7.37359474,232.714,0.016581496,-0.944138465,-0.059842731,0.323645578,-91579.685086,55356.617346,6364397.741866
0054.jpg,1,3941747.566920,510107.539748,4971863.609169,51.54794348,7.37375251,232.832,0.019454520,-0.945118417,-0.049012563,0.322444519,-104203.180892,66948.256747,6364092.312311
0055.jpg,1,3941744.715302,510114.834286,4971865.160957,51.54796547,7.37386207,232.871,-0.064102560,-0.900246368,-0.286615328,0.321401605,-69604.949462,40237.128641,6364789.693933
0056.jpg,1,3941740.113528,510117.075994,4971868.463856,51.54801402,7.37390263,232.799,-0.171801009,-0.747474300,-0.574527719,0.285804976,-41007.503346,54549.269139,6364931.526545
0057.jpg,1,3941733.698361,510116.463789,4971873.407988,51.54808699,7.37390575,232.665,-0.224666995,-0.619630840,-0.710429209,0.246723940,-55589.912104,37566.000491,6364943.605231
0058.jpg,1,3941723.538753,510115.115536,4971881.681229,51.54820536,7.37390527,232.771,-0.223561783,-0.621404169,-0.709178060,0.246867306,-53455.426163,29270.973804,6365005.504059
0059.jpg,1,3941711.941459,510113.652467,4971890.874177,51.54833902,7.37390581,232.702,-0.222767413,-0.620023291,-0.710930071,0.246016732,-43775.048597,13546.436404,6365132.211650
0060.jpg,1,3941696.568757,510111.701413,4971903.218498,51.54851708,7.37390636,232.733,-0.221062937,-0.620870030,-0.710592428,0.246393965,-28960.104217,2278.506240,6365230.830296
0061.jpg,1,3941680.505938,510109.663512,4971916.050592,51.54870277,7.37390694,232.713,-0.220022693,-0.620606656,-0.710980618,0.246868290,-13882.380535,-2111.399073,6365281.542504
0062.jpg,1,3941664.713710,510107.595983,4971928.662885,51.54888536,7.37390660,232.686,-0.218209276,-0.622146366,-0.709649570,0.248427251,6268.550557,-2416.773966,6365293.392145
0063.jpg,1,3941648.456111,510105.451643,4971941.821710,51.54907433,7.37390603,232.794,-0.216135934,-0.623870188,-0.708444858,0.249353422,23499.390876,-11508.644006,6365243.195006
0064.jpg,1,3941632.692341,510103.404857,4971954.439348,51.54925673,7.37390593,232.791,-0.215347080,-0.624353624,-0.707895892,0.250382893,35723.463740,-8121.863714,6365191.480340
0065.jpg,1,3941616.786201,510101.342431,4971967.146646,51.54944065,7.37390587,232.768,-0.215344695,-0.624411320,-0.707889116,0.250260197,34567.027571,-9364.002202,6365196.070209
0066.jpg,1,3941598.247183,510098.991604,4971981.939451,51.54965486,7.37390656,232.733,-0.217087619,-0.624392898,-0.707203876,0.250737219,20832.457471,11042.358537,6365253.035402
0067.jpg,1,3941582.126986,510096.869763,4971994.937339,51.54984195,7.37390606,232.802,-0.217143833,-0.626068509,-0.705516305,0.251263849,14565.648740,16924.483308,6365257.539250
0068.jpg,1,3941570.301407,510095.441985,4972004.378320,51.54997855,7.37390752,232.789,-0.219191115,-0.621368608,-0.709159830,0.250895682,18049.360068,31489.873562,6365193.158685
0069.jpg,1,3941561.587991,510094.458394,4972011.381248,51.55007940,7.37390958,232.821,-0.220137088,-0.619130973,-0.710936296,0.250571512,18844.168916,36737.920012,6365162.724252
0070.jpg,1,3941559.125293,510094.166808,4972013.393620,51.55010810,7.37390997,232.855,-0.221423835,-0.619061024,-0.710709857,0.250252739,4249.888421,44923.176945,6365136.717318
0071.jpg,1,3941558.572975,510094.078097,4972013.806858,51.55011435,7.37390972,232.831,-0.221402002,-0.619241950,-0.710576382,0.250203450,3124.714051,44219.579167,6365142.269680
0072.jpg,1,3941656.476098,509984.692779,4971947.630041,51.54915988,7.37216475,232.652,-0.441109755,-0.471079178,-0.572198248,0.506059046,16392.298598,4558125.503004,4442997.478022
0073.jpg,1,3941659.535180,509985.062543,4971945.148567,51.54912433,7.37216438,232.625,-0.442103708,-0.470338007,-0.570965144,0.507272386,16647.098458,4576855.972896,4423699.299583
0074.jpg,1,3941671.192711,509986.566328,4971935.764434,51.54898915,7.37216431,232.585,-0.442765752,-0.470441894,-0.569952644,0.507737035,14528.748842,4586062.898674,4414161.227209
0075.jpg,1,3941689.080698,509988.882475,4971921.437070,51.54878211,7.37216434,232.581,-0.443574171,-0.470499790,-0.569396118,0.507602170,5861.753778,4590994.951070,4409051.513038
0076.jpg,1,3941711.425668,509991.695600,4971903.530987,51.54852352,7.37216322,232.563,-0.443734805,-0.470674813,-0.568629618,0.508158441,9331.827704,4597166.890465,4402609.988685
0077.jpg,1,3941736.869226,509994.980276,4971883.248569,51.54822959,7.37216312,232.633,-0.443483612,-0.470798326,-0.568092650,0.508863403,17883.699858,4601530.037808,4398023.300070
0078.jpg,1,3941761.908941,509998.234883,4971863.212202,51.54793987,7.37216333,232.644,-0.443804299,-0.470787493,-0.567535146,0.509215808,17914.002119,4607121.821938,4392165.360453
0079.jpg,1,3941786.447310,510001.430039,4971843.748465,51.54765692,7.37216362,232.789,-0.443007829,-0.471011000,-0.567416961,0.509833986,30928.323879,4606503.473693,4392741.888573
0080.jpg,1,3941810.599828,510004.533737,4971824.487744,51.54737787,7.37216332,232.849,-0.442109012,-0.472274764,-0.568114529,0.508666935,30660.614560,4588844.606935,4411187.965436
0081.jpg,1,3941826.869910,510006.578551,4971811.563639,51.54719022,7.37216246,232.925,-0.441722906,-0.472725935,-0.569757376,0.506742142,18204.128969,4568450.232486,4432374.881463
0082.jpg,1,3941835.395414,510012.019285,4971804.350486,51.54708548,7.37222447,232.969,-0.441537450,-0.478976451,-0.567497679,0.503559951,-1093.631165,4537097.146311,4464500.569244
0083.jpg,1,3941835.785489,510020.738875,4971803.100090,51.54706789,7.37234840,232.926,-0.439132544,-0.474710606,-0.573133162,0.503319807,15220.910654,4517083.529544,4484723.100807
0084.jpg,1,3941834.077173,510035.656588,4971802.852495,51.54706496,7.37256482,232.869,-0.437304535,-0.476632586,-0.572875906,0.503387840,34809.318133,4503109.972229,4498644.768863
0085.jpg,1,3941832.452871,510051.136432,4971802.589309,51.54706084,7.37278913,232.896,-0.438789037,-0.471112874,-0.577836206,0.501619537,641.814868,4499861.098121,4502029.089315
0086.jpg,1,3941828.487923,510062.029544,4971804.593299,51.54708988,7.37295219,232.889,-0.440758939,-0.468726920,-0.581547956,0.497823871,-52198.530818,4480795.517327,4520703.801557
0087.jpg,1,3941821.747944,510063.556014,4971809.775856,51.54716452,7.37298648,232.913,-0.442357445,-0.471704588,-0.578760234,0.496841287,-73050.763400,4483316.551505,4517914.591491
0088.jpg,1,3941812.505159,510062.262203,4971817.179651,51.54727158,7.37298508,232.908,-0.439100749,-0.476028413,-0.576179570,0.498602634,-23455.225451,4473536.618993,4528127.137785
0089.jpg,1,3941793.902596,510059.819110,4971832.143267,51.54748728,7.37298457,232.958,-0.437484294,-0.479799008,-0.572964130,0.500112497,7954.478925,4474068.780029,4527655.058446
0090.jpg,1,3941772.549780,510057.021201,4971849.263947,51.54773454,7.37298407,232.974,-0.436202827,-0.482203934,-0.570501134,0.501731916,35988.812298,4478375.753318,4523258.727949
0091.jpg,1,3941748.778240,510053.881894,4971868.220450,51.54800926,7.37298316,232.908,-0.436307459,-0.484249140,-0.567248867,0.503356032,50866.414095,4493606.455005,4507984.652833
0092.jpg,1,3941724.455076,510050.747507,4971887.627970,51.54829035,7.37298335,232.856,-0.436201281,-0.483733413,-0.566212633,0.505107594,66553.928467,4508707.902341,4492675.556492
0093.jpg,1,3941700.440627,510047.681711,4971906.805418,51.54856793,7.37298394,232.820,-0.436158179,-0.485464421,-0.563418280,0.506606534,81655.298413,4521600.807247,4479449.389731
0094.jpg,1,3941679.249441,510045.058292,4971923.840768,51.54881344,7.37298564,232.883,-0.436318271,-0.477357833,-0.569308185,0.507586502,80719.485751,4533343.335966,4467582.176998
0095.jpg,1,3941661.794031,510042.793906,4971937.656095,51.54901454,7.37298556,232.757,-0.437674211,-0.474333534,-0.569957733,0.508524499,73043.661650,4553070.374047,4447608.368404
0096.jpg,1,3941651.217872,510042.239615,4971946.095833,51.54913604,7.37299720,232.800,-0.438594755,-0.472284404,-0.570588694,0.508930865,65780.395507,4564377.355844,4436117.410804
0097.jpg,1,3941645.075041,510050.250122,4971950.218148,51.54919472,7.37312309,232.879,-0.440343236,-0.466798167,-0.574677025,0.507881505,34623.583810,4569925.235203,4430755.091301
0098.jpg,1,3941643.443929,510060.185025,4971950.429896,51.54919832,7.37326814,232.832,-0.439236804,-0.471307911,-0.572497423,0.507135666,43368.733942,4553431.491447,4447627.043085
0099.jpg,1,3941640.300164,510079.847707,4971951.042302,51.54920592,7.37355507,232.942,-0.438668114,-0.469813810,-0.574726917,0.506492092,41726.789195,4543700.737923,4457583.353480
0100.jpg,1,3941638.990713,510090.905631,4971950.821556,51.54920384,7.37371558,232.844,-0.442473850,-0.469046215,-0.574247756,0.504432408,-12510.526460,4554328.962961,4446901.935162
0101.jpg,1,3941643.744281,510097.720694,4971946.323794,51.54913936,7.37380422,232.797,-0.445970689,-0.471597008,-0.571146787,0.502491546,-59364.535111,4562885.203970,4437742.647511
0102.jpg,1,3941652.924366,510099.065713,4971938.965962,51.54903295,7.37380646,232.804,-0.445928762,-0.468403800,-0.572862321,0.503561496,-53172.106475,4572861.729436,4427540.428365
0103.jpg,1,3941667.994213,510100.978663,4971926.927399,51.54885874,7.37380593,232.822,-0.444722649,-0.468973739,-0.572372307,0.504653683,-31904.059850,4573460.917386,4427125.966645
0104.jpg,1,3941688.261080,510103.543634,4971910.750520,51.54862454,7.37380510,232.857,-0.443041178,-0.469333896,-0.572790614,0.505322789,-9988.797693,4566607.241431,4434298.931096
0105.jpg,1,3941712.023492,510106.653012,4971891.707527,51.54834943,7.37380559,232.846,-0.441248158,-0.471418977,-0.571686009,0.506200868,16542.948228,4560316.756796,4440748.476723
0106.jpg,1,3941736.567688,510109.901165,4971872.004543,51.54806504,7.37380662,232.812,-0.440441131,-0.472901808,-0.570905807,0.506401076,27363.270798,4555551.110431,4445583.858340
0107.jpg,1,3941761.361395,510113.126573,4971852.133733,51.54777800,7.37380686,232.799,-0.440978982,-0.473100835,-0.571037569,0.505597896,15639.568768,4552364.275769,4448903.974733
0108.jpg,1,3941787.072041,510116.301344,4971831.604601,51.54748093,7.37380468,232.832,-0.440780313,-0.472705361,-0.571902719,0.505162980,13385.813620,4546972.589738,4454421.910291
0109.jpg,1,3941805.912932,510118.666524,4971816.489856,51.54726280,7.37380363,232.803,-0.439693659,-0.474254363,-0.571727816,0.504856009,22521.877775,4535455.233814,4466111.586722
0110.jpg,1,3941820.248832,510120.451282,4971804.989705,51.54709684,7.37380263,232.781,-0.438951553,-0.475750505,-0.571066722,0.504842342,30844.982744,4529247.695424,4472357.153125
0111.jpg,1,3941824.325817,510121.022060,4971801.838170,51.54705025,7.37380324,232.873,-0.438544964,-0.475971965,-0.571352050,0.504664085,33350.458677,4524435.234938,4477207.784159
0112.jpg,1,3941824.943479,510121.123452,4971801.257349,51.54704260,7.37380355,232.807,-0.438925164,-0.475304782,-0.571693798,0.504575332,28372.002930,4526723.822085,4474928.117436
0113.jpg,1,3941619.605788,509840.275340,4971991.653043,51.54979371,7.37016824,232.869,-0.352068221,-0.871013063,0.044145531,0.339757831,-1706.150240,4527794.106144,4473933.486591
0114.jpg,1,3941619.053110,509843.474729,4971991.706811,51.54979498,7.37021500,232.826,-0.351236869,-0.871798546,0.043511362,0.338683802,-16981.432265,4517313.772705,4484483.311492
